brand,product_name,shipping
Sapphire Tech,SAPPHIRE PULSE Radeon RX 5700 XT 100416P8GL 8GB 256-Bit GDDR6 PCI Express 4.0 x16 ATX Video Card,$3.99 Shipping
PowerColor,PowerColor RED DEVIL Radeon RX 5700 XT DirectX 12 AXRX 5700 XT 8GBD6-3DHE/OC 8GB 256-Bit GDDR6 PCI Express 4.0 CrossFireX Support ATX Video Card,$3.99 Shipping
ASUS,ASUS ROG Strix GeForce RTX 2070 DirectX 12 ROG-STRIX-RTX2070-O8G-GAMING 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,Free Shipping
GIGABYTE,GIGABYTE Radeon RX 570 DirectX 12 GV-RX570GAMING-4GD 4GB 256-Bit GDDR5 PCI Express 3.0 x16 CrossFireX Support ATX Video Card,Free Shipping
EVGA,EVGA GeForce RTX 2070 SUPER XC ULTRA+ Video Card| OVERCLOCKED| 2.75-Slot Extreme Cool Dual| 70C Gaming| RGB| Metal Backplate| 08G-P4-3175-KR| 8GB 15.5 GHz GDDR6,Free Shipping
GIGABYTE,GIGABYTE GeForce RTX 2070 Super GAMING OC 3X 8G Graphics Card| 3 x WINDFORCE Fans| 8GB 256-Bit GDDR6| GV-N207SGAMING OC-8GD Video Card,$3.99 Shipping
XFX,XFX Radeon VII DirectX 12 RX-VEGMA3FD6 16GB 4096-Bit HBM2 PCI Express 3.0 Video Card,Free Shipping
ASRock,ASRock Phantom Gaming X Radeon RX Vega 56 DirectX 12 RX VEGA 56 8G 8GB 2048-Bit HBM2 PCI Express 3.0 x16 HDCP Ready Video Card,Free Shipping
MSI,MSI GeForce RTX 2060 DirectX 12 RTX 2060 VENTUS XS 6G OC 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,Free Shipping
Sapphire Tech,SAPPHIRE NITRO+ Radeon RX 5700 XT 100416NT+8GSR 8GB 256-Bit GDDR6 PCI Express 4.0 x16 ATX Video Card,Free Shipping
EVGA,EVGA GeForce RTX 2070 SUPER XC GAMING| 08G-P4-3172-KR| 8GB GDDR6| Dual HDB Fans| RGB LED| Metal Backplate,Free Shipping
XFX,XFX RS XXX Edition Radeon RX 570 DirectX 12 RX-570P427D6 4GB OC+ 1284 MHz XFX Custom Backplate 256-Bit DDR5 PCI Express 3.0 CrossFireX Support Video Card,Free Shipping
